title,size,category,indexer
March.of.the.Penguins.2.The.Next.Step.2017.GBR.BluRay.1080p.DTS-HD.MA.5.1.AVC.REMUX-FraMeSToR,19226207000,movie,nzbgeek
Malibu.Rescue.2019.1080p.Netflix.WEB-DL.AVC.DDP.5.1-DBTV,3610604000,movie,nzbgeek
The.Terminator.1984.1080p.ATVP.MGMP.WEB-DL.DD.5.1.H.264-PiRaTeS,6463918000,movie,nzbgeek
The.Music.Room.1958.BluRay.1080p.FLAC.1.0.AVC.REMUX-FraMeSToR,24292490000,movie,nzbgeek
The.Terminator.1984.1080p.MGMP.WEB-DL.DDP.5.1.H.264-PiRaTeS,12928924000,movie,nzbgeek
The.Swimmer.1968.BluRay.1080p.DTS-HD.MA.1.0.AVC.REMUX-FraMeSToR,16414810000,movie,nzbgeek
supercars.2017.race.23.sandown.race.1080p.feed.x264hi10-lightspeed,39802190000,movie,nzbgeek
Doctor.Strange.2016.2160p.DSNP.WEB-DL.H.265.DV.DDP5.1.Atmos-AilMWeb,18829659000,movie,nzbgeek
The.Terminator.1984.1080p.PCOK.WEB-DL.DDP.5.1.H.264-PiRaTeS,8151506000,movie,nzbgeek
Juanita.2019.1080p.Netflix.WEB-DL.AVC.DDP.5.1-DBTV,4600841000,movie,nzbgeek
15.August.2019.1080p.Netflix.WEB-DL.AVC.DDP.5.1-DBTV,6478318000,movie,nzbgeek
One.Battle.After.Another.2025.2160p.USA.UHD.Blu-ray.DV.HDR.HEVC.TrueHD.7.1.Atmos-BreezeSunny,113327388000,movie,nzbgeek
JUNG.E.2023.1080p.Netflix.WEB-DL.AVC.DDP.5.1.Atmos-DBTV,5197617000,movie,nzbgeek
The.Yellow.Taboo.2025.BluRay.1080p.AVC.TrueHD5.1-MTeam,29658199000,movie,nzbgeek
Lehakat.Hanachal.Yeshnan.Banot.1967.DVDRip.x264-YoniMix,49825000,movie,nzbgeek
supercars.2017.race.30.newcastle.1080p.feed.x264hi10-lightspeed,27349736000,movie,nzbgeek
Krrish.2006.1080p.BluRay.REMUX.AVC.DTS-HD.MA.5.1-EPSiLON,46524645000,movie,nzbgeek
Diabolique.1996.1080p.BluRay.REMUX.AVC.FLAC.2.0-maniac,13743826000,movie,nzbgeek
The.Rip.2026.1080p.Netflix.WEB-DL.AVC.DDP.5.1.Atmos-DBTV,5853257000,movie,nzbgeek
Kummatty.1979.Yam.Daabo.1987.1080p.USA.Blu-ray.AVC.LPCM.1.0-TMT,60433655000,movie,nzbgeek
The.Rip.2026.2160p.NF.WEB-DL.Hybrid.H.265.DV.HDR.DDP.Atmos.5.1.English-HONE,17715633000,movie,nzbgeek
supercars.2017.race.18.townsville.1080p.feed.x264hi10-lightspeed,17835660000,movie,nzbgeek
Sweet.Sixteen.2002.1080p.BluRay.H.264-RiSEHD,10172000,movie,nzbgeek
Silver.River.1948.1080p.BluRay.REMUX.AVC.FLAC.2.0-TRiToN,34855179000,movie,nzbgeek
supercars.2017.race.26.surfers.paradise.1080p.feed.x264hi10-lightspeed,25969020000,movie,nzbgeek
sweet.sixteen.2002.1080p.bluray.H.264-risehd,23306039000,movie,nzbgeek
The.Sum.of.All.Fears.2002.1080p.iP.WEB-DL.AAC.2.0.H.264-PiRaTeS,9485240000,movie,nzbgeek
Tyler.Perrys.Madeas.Tough.Love.2015.1080p.AMZN.WEB-DL.DDP5.1.H.264-FLUX,2429144000,movie,nzbgeek
Tron.Ares.2025.IMAX.2160p.DSNP.WEB-DL.TrueHD.Atmos.7.1.DV.HDR.H.265-FLUX,17871557000,movie,nzbgeek
supercars.2017.race.12.barbagallo.1080p.feed.x264hi10-lightspeed,16124861000,movie,nzbgeek
The.Taking.2014.BluRay.1080p.DTS-HD.MA.5.1.AVC.REMUX-FraMeSToR,25686846000,movie,nzbgeek
Double.Holiday.2019.1080p.AMZN.WEB-DL.DDP2.0.H.264-FLUX,7605891000,movie,nzbgeek
The.Great.Train.Robbery.1978.BluRay.1080p.DTS-HD.MA.5.1.AVC.HYBRID.REMUX-FraMeSToR,18599579000,movie,nzbgeek
supercars.2017.race.10.phillip.island.1080p.feed.x264hi10-lightspeed,16423121000,movie,nzbgeek
The.Secret.Agent.2025.2160p.DCP.WEBRIP.AC3.SDR.H265-AOC,24841852000,movie,nzbgeek
